id	content	sendTime	sendTimePersian	senderName	senderUsername	type	hashtags
450540751	شهدای خدمت	2024-05-20T22:35:52Z	1403/03/01 02:05	تبرک	tabarok	quote	""
450540734	"#زماهان 
فروش،جوجه یکروزه گوشتي از ۱۴میلیون ب۲۳میلیون قطعه رسیده و سود ناخالص هم برای هر قطعه جوجه از ۲۲۰۰ تومن ب ۳۳۳۷ تومن رسیده
زماهان در فرودین ماه ۵۲ میلیارد  فروش،داشته اگه بتونه همین‌جوری  فروش داشته باشه  تا پایان  سال ۶۲۴میلیارد میتونه  فروش،داشته باشه این  یعنی فروش شرکت رکورد میزنه"	2024-05-20T22:30:37Z	1403/03/01 02:00	ارسلان	amir79640	twit	زماهان
450540728	#قشیر ای زبون بسته هم تا افشا زد،بورس تعطیل شد	2024-05-20T22:25:19Z	1403/03/01 01:55	احسان	ehsan2349	twit	قشیر
450540668	"#شاخص_بورس 
تا بحال سایپا و ایرانخودرو  به عنوان ( ناشر )  حداقل 5 -4  بار برنامه خود را جهت خروج از  ماده  141 در کدال  که تا به این لحظه هیچ کدام از موارد مطرح شده جهت کاهش زیان و خروج این 2 خودروساز از ماده 141 عملی نشده !
زمانی می توان از طرح \" افزایش سرمایه \" به عنوان خبر خوب یاد کرد که موانع قانونی آن برطرف شده باشد و اطلاعیه ای تحت عنوان \" پیشنهاد هیئت مدیره به مجمع عمومی فوق العاده در خصوص افزایش سرمایه \" توسط خودروسازان روانه کدال شد وگرنه صرف برنامه داشتن ناشر جهت کاهش زیان نمی توان آن را خبر خوش قلمداد کرد"	2024-05-20T22:11:05Z	1403/03/01 01:41	HADI1967	ha199203	quote	شاخص_بورس
450540635	"#شاخص_بورس دوستان عزیز توجه داشته باشید که مسائل اقتصادی ما با آمدن و رفتن هر رییس جمهوری از هر حزب و جناحی تغییر چندانی نمیکنه حالا شاید یکیشون هر هفته در پروژه ها حضور داشته باشه ویکی دیگه خسته تر باشه و بصورت ویدیویی رسیدگی کنه حالا شاید فساد در دولتی کمتر از  اون یکی باشه یا بیشترومسایل دیگر 
بحث اقتصاد ما اینه که یک اقتصاد بسته و دولتی ست 
بدون سرمایه‌گذاری خارجی وحتی خصوصی داخلی
و تمام اینا برمیگرده به تحریم و روابط بین المللی 
سه راه حل داریم ،یک به همین صورت بریم جلو که هر سال تورم وحشتناک تر میشه 
دوم به موضع قدرت برسیم هر چه بادا باد یعنی درستش کنیم وبزاریم جلو دوربین ها 
سوم جمعش کنیم و خلاص 
که دومی و سومی بحث سرش زیاده وبرای هر کدوم صد تا بحث وتبصره باز میشه 
یک قضیه پیچیده زمانبر"	2024-05-20T22:04:41Z	1403/03/01 01:34	Khodaverdi	bh1234	twit	شاخص_بورس
450540630	#زملارد لغو مجمع.....تاریخ مجمع بعدی قراره کدال بشه... هنوز مشخص نیست	2024-05-20T22:04:18Z	1403/03/01 01:34	محمدرضا بهزادی	k1o2b3i4	twit	زملارد
450540587	#وسدید الان وضعیت سهم چی میشه؟	2024-05-20T21:57:11Z	1403/03/01 01:27	حیدری	h3ydari	twit	وسدید
450540562	دیگ این قیمتا جای فروشش نیست	2024-05-20T21:52:16Z	1403/03/01 01:22	Farhad6g	farhad6g	quote	""
450540554	#خودرو#شپنا  💥تا زمانیکه چنین مدیران سازمان کوته فکری داریم هر تحلیل درست و بهترین تحلیل ها هم  بی اعتبار میشه💥  اطلاعیه میدن جهت حفظ حقوق سهامداران و دوری سهامداران از  رفتارهای هیجانی جلسه ای  گذاشتند و  در نهایت راحتترین راه و مثل همیشه انتخاب کردند یعنی ۲ درصدی کردن  محدودیت نوسان،،تصمیمی که خودش مسبب ایجاد هیجان خواهد بود و به بازیگران این فرصت و میده تا با تعداد سهام اندک اهدافشون و چه صف فروش چه صف خرید راحت محقق کنند..مثلا شبندری که اون بازی و کرد و بعد اصلاحیه داد مشخصه نیت و هدفش ایجاد  فشار فروش بوده دقیقا مثل پارسال که ۱۲۰۰ خالی کردند و بعد دستکاری گزارشات شبندر ۷۰۰ هم دید💥 اولا اگر میخواستند بنفع بازار و سهامدار و جهت حمایت تصمیمی بگیرند اصلا نباید دست به دامنه سهام میزدند و فردا هم میذاشتند بازار تعطیل باشه و شنبه مثل قبل بازار و باز میکردند.وحتی اگه قرار بر هیجان سهامدار باشه فقط با دامنه  نوسان قبل میتونست  سریع و کمتر از یک روز  بازار خودش و جمع و جور کنه..اما با این ۲ درصدی مطمعنا هیجان بازار بیشتر میشه و سهام یا صف فروش خواهند بود یا صف خرید💥 ۲ درصدی زمانی جواب میده که حقوقی هایی داشته باشند که در کف ۲ درصد حمایت و خرید کنند  تا صف فروش احتمالی سنگین نشه👀و در اون صورت هم سهام سریع صف خرید خواهند شد و تعادلی در کار نخواهد بود،،والا برای شخص من همه چیز عادی بود و حتی به بازار امیدوار بودم !تا  اینکه این اطلاعیه  و تصمیم اشتباه محدودیت نوسان اومد..تصمینی که بارها نتیجه و دیدیم و خود این ۲ درصدی یعنی ایجاد هیجان صف فروش یا صف خرید...اصلا  ۲ درصدی کردن دامنه نوسان  یعنی القای ترس..یعنی یادآوری ریسک ..💥امیدوارم حداقل این ۲ درصدی بخاطر حمایت باشه و حداقل هدفشون مثبت و ایجاد هیجان مثبت باشه💥 با این دامنه سهام اگه ۴ روز صف خرید داشته باشند ریزش ۶۰ هزار واحدی یک روزه جبران میشه...💥	2024-05-20T21:50:18Z	1403/03/01 01:20	♨️E💕L💕M💕R♨️	elmiram41	twit	خودرو,شپنا
450540509	#خساپا وعده واگذاری خودروسازان و واگذاری سهام تودلی همش پوچ و دروغ بود	2024-05-20T21:41:39Z	1403/03/01 01:11	صالحی	1991behzad	twit	خساپا
